date_posted,cloud,communication,data_analysis,deep_learning,docker,excel,machine_learning,power_bi,python,sql,statistics,tableau,tensorflow
2024-01-31,0,0,1,0,0,1,1,0,1,2,0,0,0
2024-02-29,1,0,0,1,0,0,0,0,2,1,0,0,1
2024-03-31,0,1,1,0,0,2,0,0,0,1,1,0,0
2024-04-30,0,0,0,1,0,1,0,1,1,1,1,0,0
2024-05-31,0,0,0,0,0,0,1,0,2,1,1,1,0
2024-06-30,0,0,0,1,0,1,1,0,1,1,1,0,0
2024-07-31,0,0,0,0,0,0,1,0,2,1,1,0,1
2024-08-31,1,0,0,0,0,0,0,1,1,2,0,1,0
2024-09-30,0,1,0,1,0,1,1,0,1,1,0,0,0
2024-10-31,1,0,0,0,2,0,0,0,2,1,0,0,0
