candidate_id,skills,education,years_of_experience,placed,placement_date,offered_salary_lpa,sector_placed_in
1,"Python,SQL,Machine Learning",B.Tech,3.0,1,2023-04-10,16.0,Technology
2,"Python,Deep Learning",M.Sc,4.0,1,2023-04-15,22.0,Technology
3,"SQL,Excel,Data Analysis",MBA,2.0,1,2023-03-25,8.5,Finance
4,"Excel,Communication",BCA,1.0,0,,,
5,"Python,TensorFlow,Machine Learning",B.Tech,3.0,1,2023-05-20,19.0,Technology
6,"SQL,Power BI",MBA,2.0,1,2023-05-10,10.0,Finance
7,"Python,Statistics",M.Sc,2.0,1,2023-06-01,14.0,Technology
8,"Excel,SQL",BCA,0.5,0,,,
9,"Python,Machine Learning,Statistics",M.Sc,4.0,1,2023-06-20,20.0,Technology
10,"SQL,Tableau",MBA,2.5,1,2023-07-05,11.0,Retail
11,"Python,Cloud,Docker",B.Tech,3.0,1,2023-07-15,18.0,Technology
12,"Excel,Communication,Statistics",MBA,1.5,0,,,
13,"Python,Deep Learning,TensorFlow",M.Sc,5.0,1,2023-08-01,26.0,Technology
14,"SQL,Excel,Data Analysis",BCA,1.0,0,,,
15,"Python,SQL,Statistics",B.Tech,3.0,1,2023-08-20,17.0,Technology
16,"R,Statistics",M.Sc,3.0,1,2023-09-10,13.0,Healthcare
17,"Python,Machine Learning",B.Tech,2.0,1,2023-09-25,15.0,Technology
18,"SQL,Power BI,Tableau",MBA,2.5,1,2023-10-05,12.0,Retail
19,"Python,Cloud",B.Tech,3.0,1,2023-10-20,16.0,Technology
20,"Excel,Data Analysis",BCA,1.0,0,,,
21,"Python,Deep Learning,Statistics",M.Sc,4.0,1,2023-11-05,23.0,Technology
22,"SQL,Excel,Communication",BCA,1.5,0,,,
23,"Python,Machine Learning,Cloud",B.Tech,4.0,1,2023-11-25,21.0,Technology
24,"R,Statistics,Data Analysis",M.Sc,3.0,1,2023-12-10,14.0,Healthcare
25,"Python,TensorFlow",B.Tech,3.0,1,2023-12-20,18.0,Technology
26,"SQL,Excel,Statistics",MBA,2.0,0,,,
27,"Python,SQL,Machine Learning",M.Sc,4.0,1,2024-01-10,22.0,Technology
28,"Deep Learning,TensorFlow",M.Sc,3.0,0,,,
29,"Python,Docker,Cloud",B.Tech,3.0,1,2024-01-25,19.0,Technology
30,"SQL,Power BI",MBA,2.0,1,2024-02-10,10.5,Finance
31,"Python,Statistics,R",M.Sc,3.0,1,2024-02-25,15.0,Healthcare
32,"Machine Learning,Statistics",M.Sc,2.0,0,,,
33,"Python,SQL,Deep Learning",M.Sc,5.0,1,2024-03-10,27.0,Technology
34,"Excel,Tableau,Communication",BCA,1.0,0,,,
35,"Python,Machine Learning",B.Tech,2.0,1,2024-03-25,15.5,Technology
36,"SQL,Excel,Statistics",MBA,1.5,1,2024-04-10,9.0,Finance
37,"Python,Cloud,Docker",B.Tech,4.0,1,2024-04-25,21.0,Technology
38,"Deep Learning,TensorFlow,Machine Learning",M.Sc,4.0,1,2024-05-10,25.0,Technology
39,"Python,SQL",B.Tech,2.0,1,2024-05-25,13.5,Technology
40,"Excel,Data Analysis,Communication",BCA,1.0,0,,,
41,"Python,Statistics,R",M.Sc,3.0,1,2024-06-10,16.0,Healthcare
42,"SQL,Power BI,Tableau",MBA,2.5,1,2024-06-25,11.5,Finance
43,"Python,Machine Learning,Statistics",M.Sc,4.0,1,2024-07-10,22.0,Technology
44,"Excel,SQL,Communication",BCA,1.5,0,,,
45,"Python,Deep Learning",M.Sc,3.0,1,2024-07-25,21.0,Technology
46,"SQL,Data Analysis,Tableau",MBA,2.0,1,2024-08-10,11.0,Retail
47,"Python,TensorFlow,Machine Learning",B.Tech,4.0,1,2024-08-25,24.0,Technology
48,"Statistics,Communication,Project Management",MBA,3.0,0,,,
49,"Python,SQL,Cloud",B.Tech,3.0,1,2024-09-10,18.0,Technology
50,"Excel,Power BI,Tableau",MBA,2.0,1,2024-09-25,12.5,Finance
51,"Python,Machine Learning,Deep Learning",M.Sc,5.0,1,2024-10-10,28.0,Technology
52,"SQL,Statistics",MBA,2.0,0,,,
53,"Python,SQL,Docker",B.Tech,3.0,1,2024-10-25,17.0,Technology
54,"Excel,Data Analysis",BCA,0.5,0,,,
55,"Python,Statistics",M.Sc,2.0,1,2024-11-10,13.0,Technology
56,"SQL,Tableau,Power BI",MBA,2.0,1,2024-11-25,11.5,Retail
57,"Python,TensorFlow,Deep Learning",M.Sc,5.0,1,2024-12-10,26.0,Technology
58,"Machine Learning,Statistics,R",M.Sc,3.0,1,2024-12-25,16.0,Healthcare
59,"Python,Cloud,Machine Learning",B.Tech,4.0,1,2025-01-10,22.0,Technology
60,"Excel,Communication",BCA,1.0,0,,,
